Name,Amount,District
"Escobar, Veronica","$12,450",D-TX
"Gray, Adam","$12,200",D-CA
"Sanchez, Linda","$12,200",D-CA
"Velazquez, Nydia","$12,168",D-NY
"Webster, Daniel","$12,100",R-FL
"Balint, Becca","$12,050",D-VT
"Scanlon, Mary Gay","$12,000",D-PA
"Lee, Laurel","$11,900",R-FL
"Kistner, Tyler","$11,690",R-MN
"Hill, French","$11,650",R-AR
"Bilirakis, Gus","$11,500",R-FL
"Wilson, Frederica","$11,500",D-FL
"Adkins, Amanda","$11,460",R-KS
"Rose, Max","$11,375",D-NY
"Self, Keith","$11,200",R-TX
"Peters, Scott","$11,130",D-CA
"Villegas, Gilbert","$11,100",D-IL
"Harshbarger, Diana","$11,000",R-TN
"Laturner, Jake","$11,000",R-KS
"Ogles, Andy","$11,000",R-TN
"Lofgren, Zoe","$10,950",D-CA
"Adams, Alma","$10,900",D-NC
"Obernolte, Jay","$10,800",R-CA
"Coleman, Bonnie Watson","$10,786",D-NJ
"Evans, Dwight","$10,750",D-PA
"Posey, Bill","$10,700",R-FL
"Beyer, Don","$10,600",D-VA
"Cline, Ben","$10,500",R-VA
"Edwards, Chuck","$10,500",R-NC
"Graves, Sam","$10,500",R-MO
"Vallejo, Michelle","$10,360",D-TX
"Fischbach, Michelle","$10,193",R-MN
"Baird, Jim","$10,000",R-IN
"Castor, Kathy","$10,000",D-FL
"Franklin, Scott","$10,000",R-FL
"Griffith, Morgan","$10,000",R-VA
"Hern, Kevin","$10,000",R-OK
"Higgins, Brian M","$10,000",D-NY
"Higgins, Clay","$10,000",R-LA
"Stauber, Pete","$10,000",R-MN
"Carey, Mike","$9,800",R-OH
"Flores, Mayra","$9,800",R-TX
"Shaffer, Jeremy","$9,760",R-PA
"DeFazio, Peter","$9,700",D-OR
"Williams, Nikema Natassha","$9,650",D-GA
"Riley, Josh","$9,404",D-NY
"Fulcher, Russ","$9,400",R-ID
"Simpson, Mike","$9,400",R-ID
"Ramirez, Delia","$9,375",D-IL
"Peterson, Karen Carter","$9,300",D-LA
"Van Duyne, Beth","$9,105",R-TX
"Payne, Donald M Jr","$9,000",D-NJ
"Williams, Brandon","$9,000",R-NY
"Houchin, Erin","$8,900",R-IN
"LaMalfa, Doug","$8,900",R-CA
"McGriff, Nykea Pippion","$8,900",D-IL
"Smith, Christy","$8,806",D-CA
"O'Halleran, Tom","$8,800",D-AZ
"Crawford, Rick","$8,650",R-AR
"Norman, Ralph","$8,650",R-SC
"Castro, Joaquin","$8,500",D-TX
"Gashi, Vedat","$8,500",D-NY
"Bishop, Dan","$8,400",R-NC
"Carbajal, Salud","$8,400",D-CA
"Wells, Steve","$8,400",3-NY
"Zimmerman, Robert","$8,366",D-NY
"Kirkmeyer, Barb","$8,250",R-CO
"Sanchez, Jana Lynne","$8,250",D-TX
"Duncan, Jeff","$8,200",R-SC
"Jayapal, Pramila","$8,200",D-WA
"McNerney, Jerry","$8,200",D-CA
"Torres, Norma","$8,200",D-CA
"Rogers, Hal","$8,150",R-KY
"Samuels, Don","$8,000",D-MN
"Taddeo, Annette","$8,000",D-FL
"Amodei, Mark","$7,900",R-NV
"Armstrong, Kelly","$7,900",R-ND
"Bucshon, Larry","$7,900",R-IN
"Burgess, Michael","$7,900",R-TX
"D'Esposito, Anthony","$7,900",R-NY
"Feenstra, Randy","$7,900",R-IA
"Jones, Vernon","$7,900",R-GA
"Kelly, Trent","$7,900",R-MS
"Luttrell, Morgan","$7,900",R-TX
