Name,Amount,District
"Wenstrup, Brad","$1,000",R-OH
"Yakym, Rudy","$1,000",R-IN
"Mast, Brian",$770,R-FL
"Quigley, Mike",$762,D-IL
"Canning, Doyle",$750,D-OR
"Geller, Eddie",$650,D-FL
"Scalise, Steve",$642,R-LA
"Neumann, Cora",$600,D-MT
"Roberson, Portia",$600,D-MI
"Niou, Yuh-Line",$580,3-NY
"Castor, Kathy",$512,D-FL
"Moulton, Seth",$512,D-MA
"Blalock, Andy",$500,R-AL
"Brown, Anthony",$500,D-MD
"Cargile, Mike",$500,R-CA
"Dickinson, Jerry",$500,D-PA
"Garza, Rochelle",$500,D-TX
"Gay, Derrik",$500,D-TX
"Hamilton, Jane",$500,D-TX
"Magsig, Nathan",$500,R-CA
"Majewski, J R",$500,R-OH
"Martin, Henry",$500,D-MO
"Roberts, Dustin",$500,R-OK
"Rodriguez, Eduardo",$500,D-TX
"Rouda, Harley",$500,D-CA
"Sires, Albio",$500,D-NJ
"Sossa-Paquette, Jeff",$500,R-MA
"Sudduth, Cheryl",$500,D-CA
"Williams, Charise A",$500,D-IL
"Wood, Marisa",$500,D-CA
"Bourdeaux, Carolyn",$475,D-GA
"Holzhauer, Hava",$400,D-FL
"Langevin, Jim",$400,D-RI
"Davis, Danny K",$362,D-IL
"Sites, Jeffrey",$350,D-OH
"Jordan, Jim",$320,R-OH
"Duenas, Angelica",$300,D-CA
"Barragan, Nanette",$262,D-CA
"Velazquez, Nydia",$262,D-NY
"D'Arrigo, Melanie",$255,3-NY
"Cole, Jahmal",$250,D-IL
"De Blasio, Bill",$250,D-NY
"DuPree, Johnny",$250,D-MS
"Ehasz, Ashley",$250,D-PA
"Farrell, Bridie",$250,D-NY
"Fox, Joy",$250,D-RI
"McCormack, Holly",$250,D-GA
"Newhouse, Dan",$250,R-WA
"Sandoval, Sol",$250,D-CO
"Swain, Jonathan",$250,D-IL
"Webster, Daniel",$250,R-FL
"Roe, Ann",$225,D-WI
"Crenshaw, Dan",$200,R-TX
"Hinson, Ashley",$200,R-IA
"Zeldin, Lee",$200,R-NY
"Huffman, Jared",$112,D-CA
"Soto, Darren",$112,D-FL
"Jacobs, Matt",$110,R-CA
"Peters, Sam",$100,R-NV
"Wilkes, Mckayla",$100,D-MD
"Winter, Tom",$100,D-MT
"Ellzey, Jake",$25,R-TX
"Blumenauer, Earl",$12,D-OR
"Bonamici, Suzanne",$12,D-OR
"Costa, Jim",$12,D-CA
"Desaulnier, Mark",$12,D-CA
"Green, Al",$12,D-TX
"Keating, Bill",$12,D-MA
"Larsen, Rick",$12,D-WA
"Lynch, Stephen",$12,D-MA
"McEachin, Donald",$12,D-VA
"Napolitano, Grace",$12,D-CA
"Norcross, Don",$12,D-NJ
"Pingree, Chellie",$12,D-ME
"Ross, Deborah",$12,D-NC
"Ruppersberger, Dutch",$12,D-MD
"Sarbanes, John",$12,D-MD
"Schultz, Debbie Wasserman",$12,D-FL
"Arraf, Huwaida",$-825,D-MI
"Ladjevardian, Sima","$-1,000",D-TX
"Abdelhamid, Rana","$-1,400",D-NY
"Cunningham, Joe","$-2,500",D-SC
"Karinshak, Zahra S.","$-2,500",D-GA
"Campa-Najjar, Ammar","$-2,594",D-CA
"Jones, Mondaire","$-7,000",D-NY
"Flowers, Marcus","$-38,837",D-GA
